source_id,title,kind,canonical_url,stable_identifier,retrieved_on,license_name,license_class,page_equivalent,notes_path,sha256
draft-2018-antenna-tracking,Carpenter ants use diverse antennae sampling strategies to track odor trails,paper,https://doi.org/10.1242/jeb.185124,DOI:10.1242/jeb.185124,2026-08-25,The Company of Biologists copyright,REFERENCE_ONLY,13,research/source_notes/draft-2018-antenna-tracking.md,
perna-2012-argentine-trail-rules,Individual Rules for Trail Pattern Formation in Argentine Ants (Linepithema humile),paper,https://doi.org/10.1371/journal.pcbi.1002592,DOI:10.1371/journal.pcbi.1002592,2026-08-25,CC BY,REDISTRIBUTABLE_AND_SHIPPABLE,14,research/source_notes/perna-2012-argentine-trail-rules.md,
czaczkes-2016-route-learning,The Effect of Trail Pheromone and Path Confinement on Learning of Complex Routes in the Ant Lasius niger,paper,https://doi.org/10.1371/journal.pone.0149720,DOI:10.1371/journal.pone.0149720,2026-08-25,CC BY,REDISTRIBUTABLE_AND_SHIPPABLE,12,research/source_notes/czaczkes-2016-route-learning.md,
wolf-2024-tortuosity,Geometrical multiscale tortuosity of desert ant walking trajectories,paper,https://doi.org/10.1242/jeb.247104,DOI:10.1242/jeb.247104,2026-08-25,CC BY 4.0 reported for author-distributed version,REDISTRIBUTABLE_AND_SHIPPABLE,11,research/source_notes/wolf-2024-tortuosity.md,
gordon-2020-encounter-rate,"Movement, Encounter Rate, and Collective Behavior in Ant Colonies",paper,https://doi.org/10.1093/aesa/saaa036,DOI:10.1093/aesa/saaa036,2026-08-25,CC BY-NC-ND 4.0,REDISTRIBUTABLE_RESEARCH_ONLY,6,research/source_notes/gordon-2020-encounter-rate.md,
john-2009-ant-traffic,Trafficlike Collective Movement of Ants on Trails: Absence of a Jammed Phase,paper,https://doi.org/10.1103/PhysRevLett.102.108001,DOI:10.1103/PhysRevLett.102.108001,2026-08-25,APS copyright,REFERENCE_ONLY,4,research/source_notes/john-2009-ant-traffic.md,
wu-2022-ant-colony-trajectories,A dataset of ant colonies motion trajectories in indoor and outdoor scenes for social cluster behavior study,dataset,https://arxiv.org/abs/2204.04380,arXiv:2204.04380,2026-08-25,Dataset/article redistribution license not verified,REFERENCE_ONLY,10,research/source_notes/wu-2022-ant-colony-trajectories.md,
gal-2020-antrax-paper,"anTraX, a software package for high-throughput video tracking of color-tagged insects",paper,https://doi.org/10.7554/eLife.58145,DOI:10.7554/eLife.58145,2026-08-25,CC BY,REDISTRIBUTABLE_AND_SHIPPABLE,32,research/source_notes/gal-2020-antrax-paper.md,
antrax-zenodo-3740547,anTraX benchmark datasets,dataset,https://doi.org/10.5281/zenodo.3740547,DOI:10.5281/zenodo.3740547,2026-08-25,Exact dataset license not verified in this pass,REFERENCE_ONLY,25,research/source_notes/antrax-zenodo-3740547.md,
antgait-dryad-g79cnp5tq,antGait: genuine ant trajectories and movement-estimation dataset,dataset,https://doi.org/10.5061/dryad.g79cnp5tq,DOI:10.5061/dryad.g79cnp5tq,2026-08-25,Exact Dryad item license not reverified in this pass,REFERENCE_ONLY,12,research/source_notes/antgait-dryad-g79cnp5tq.md,
hita-garcia-2017-terataner-microct,X-Ray microtomography for ant taxonomy: an exploration and case study with two new Terataner species,paper,https://doi.org/10.1371/journal.pone.0172641,DOI:10.1371/journal.pone.0172641,2026-08-25,CC BY,REDISTRIBUTABLE_AND_SHIPPABLE,36,research/source_notes/hita-garcia-2017-terataner-microct.md,
dryad-terataner-sk6s0,Data from: X-Ray microtomography for ant taxonomy (Terataner cybertypes),dataset,https://doi.org/10.5061/dryad.sk6s0,DOI:10.5061/dryad.sk6s0,2026-08-25,Exact Dryad item license not reverified in this pass,REFERENCE_ONLY,10,research/source_notes/dryad-terataner-sk6s0.md,
apple-nsscreen-backing-scale,Apple NSScreen backingScaleFactor documentation,documentation,https://developer.apple.com/documentation/appkit/nsscreen/backingscalefactor,Apple:NSScreen.backingScaleFactor,2026-08-25,Apple documentation terms,REFERENCE_ONLY,2,research/source_notes/apple-nsscreen-backing-scale.md,
microsoft-per-monitor-dpi,Microsoft High DPI desktop application development / per-monitor DPI documentation,documentation,https://learn.microsoft.com/windows/win32/hidpi/high-dpi-desktop-application-development-on-windows,Microsoft:Win32:High-DPI-Desktop,2026-08-25,Microsoft documentation terms,REFERENCE_ONLY,6,research/source_notes/microsoft-per-monitor-dpi.md,
crosscombe-2026-ant-dwell-time,Dwell Time Outperforms Social and Chemical Predictors of Behavioural Transitions in Ants,paper,https://doi.org/10.3390/e28040451,DOI:10.3390/e28040451,2026-08-25,MDPI open-access article; exact CC version to retain with source,REDISTRIBUTABLE_AND_SHIPPABLE,24,research/source_notes/crosscombe-2026-ant-dwell-time.md,
wildflowersbloom-colony-development,wildflowersbloom/colony-development sample ant trajectories and analysis code,repository,https://github.com/wildflowersbloom/colony-development,GitHub:wildflowersbloom/colony-development@35b4d3201bc594ceab0a28600c487b976297a4b3,2026-08-25,MIT for repository code; sample data terms require separate confirmation,REDISTRIBUTABLE_RESEARCH_ONLY,20,research/source_notes/wildflowersbloom-colony-development.md,
toohuman-ant-dwell-time-repo,toohuman/ant-dwell-time analysis repository,repository,https://github.com/toohuman/ant-dwell-time,GitHub:toohuman/ant-dwell-time@fa669cca848090da67b71a22e49cc3247157c832,2026-08-25,MIT,REDISTRIBUTABLE_AND_SHIPPABLE,20,research/source_notes/toohuman-ant-dwell-time-repo.md,
ufifas-argentine-ant,Argentine Ant Linepithema humile (Mayr) identification,documentation,https://ask.ifas.ufl.edu/publication/IN1336,UFIFAS:IN1336,2026-08-25,UF/IFAS publication terms not verified for redistribution,REFERENCE_ONLY,4,research/source_notes/ufifas-argentine-ant.md,
